UserID,TotalCourses,AvgSpend,DiversityScore,AvgRating,AvgDuration,AdvancedCourses,UserAge,UserGender,Cluster
U00087,3,0.0,3,4.506666666666667,36.56666666666667,,19,1,2
U00088,1,0.0,1,3.64,42.7,,23,0,2
U00089,1,0.0,1,4.73,47.7,,30,0,2
U00090,1,0.0,1,3.45,33.93,,34,0,2
U00091,1,0.0,1,4.14,31.77,,35,0,2
U00092,4,148.7025,4,2.7175000000000002,18.7075,2.0,31,0,0
U00093,1,285.05,1,1.96,34.78,,16,0,3
U00094,1,299.57,1,3.74,48.32,,27,0,3
U00095,1,248.1,1,1.2,9.4,,20,0,3
U00096,4,0.0,3,2.58,16.4975,,34,1,2
U00097,2,0.0,2,2.0949999999999998,13.02,2.0,25,0,2
U00098,1,0.0,1,4.45,15.29,1.0,31,0,2
U00099,1,299.57,1,3.74,48.32,,29,1,3
U00100,1,0.0,1,2.14,8.95,,32,1,2
U00101,1,89.59,1,2.68,1.55,,15,1,0
U00102,1,299.57,1,3.74,48.32,,32,0,3
U00103,1,0.0,1,2.0,15.84,1.0,30,1,2
U00104,1,53.86,1,2.47,47.08,,19,0,2
U00105,1,299.57,1,3.74,48.32,,27,0,3
U00106,2,28.66,2,3.4400000000000004,26.450000000000003,1.0,19,0,2
U00107,1,0.0,1,3.85,19.53,,18,1,2
U00108,2,0.0,2,2.965,48.625,1.0,32,0,2
U00109,14,62.12642857142857,10,3.157857142857143,32.39071428571429,3.0,15,1,2
U00110,1,487.92,1,3.64,36.01,1.0,26,1,1
U00111,1,0.0,1,2.14,8.95,,24,0,2
U00112,14,40.41428571428571,9,3.165714285714286,27.514285714285712,5.0,34,1,2
U00113,1,346.71,1,1.23,3.42,1.0,19,0,3
U00114,1,0.0,1,2.38,16.74,1.0,22,1,2
U00115,1,0.0,1,1.73,38.49,,32,1,2
U00116,1,0.0,1,1.52,2.87,1.0,31,0,2
U00117,13,145.06692307692308,9,3.373076923076923,28.200769230769232,4.0,19,1,0
U00118,1,0.0,1,2.0,15.84,1.0,28,1,2
U00119,1,57.32,1,4.74,43.95,1.0,28,0,2
U00120,2,207.755,2,3.215,38.45,,15,0,3
U00121,2,164.385,2,2.7,28.545,1.0,27,1,0
U00122,2,0.0,2,2.895,11.139999999999999,,21,1,2
U00123,2,178.445,2,4.24,46.135000000000005,1.0,18,1,0
U00124,2,230.245,2,2.175,16.145,1.0,19,1,3
U00125,2,163.01,2,2.25,10.305,1.0,35,1,0
U00126,14,77.4692857142857,7,3.457142857142857,21.946428571428573,4.0,23,1,0
U00127,3,301.1433333333334,3,3.846666666666667,31.236666666666665,2.0,34,1,3
U00128,13,139.51153846153846,8,3.106923076923077,24.185384615384613,4.0,35,1,0
U00129,2,207.755,2,3.885,17.14,,19,0,3
U00130,1,248.1,1,1.2,9.4,,17,0,3
U00131,1,0.0,1,3.15,22.29,1.0,19,0,2
U00132,1,0.0,1,1.13,16.33,,22,0,2
U00133,14,59.166428571428575,9,2.830714285714286,30.655,5.0,21,0,2
U00134,14,102.72928571428572,8,3.3528571428571428,31.97,6.0,26,1,0
U00135,1,0.0,1,3.02,9.71,,17,1,2
U00136,1,0.0,1,3.15,22.29,1.0,25,1,2
U00137,2,230.145,2,3.705,32.615,1.0,15,1,3
U00138,2,0.0,2,1.8699999999999999,32.504999999999995,1.0,26,0,2
U00139,4,62.025,4,1.8275000000000001,14.8925,2.0,16,1,2
U00140,2,26.93,2,3.5650000000000004,26.515,,24,1,2
U00141,1,0.0,1,2.88,45.13,,20,0,2
U00142,1,472.28,1,4.74,11.0,,17,1,1
U00143,2,88.67,2,4.415,46.16,1.0,26,0,0
U00144,13,73.35923076923076,7,3.173076923076923,22.48923076923077,5.0,24,1,0
U00145,1,0.0,1,4.94,42.59,,23,1,2
U00146,1,0.0,1,4.44,1.46,,30,1,2
U00147,12,99.64,9,3.0775,23.798333333333332,3.0,30,0,0
U00148,1,0.0,1,3.02,9.71,,35,1,2
U00149,10,90.64099999999999,8,3.303,20.456,4.0,17,1,0
U00150,2,0.0,2,3.245,31.494999999999997,1.0,25,0,2
U00151,1,0.0,1,4.44,1.46,,16,1,2
U00152,12,114.07666666666665,9,3.296666666666667,27.83583333333333,2.0,19,1,0
U00153,2,18.945,2,2.575,21.82,1.0,35,0,2
U00154,1,248.1,1,1.2,9.4,,29,0,3
U00155,2,0.0,2,3.71,41.7,,27,0,2
U00156,1,0.0,1,1.59,6.36,1.0,17,0,2
U00157,2,106.195,2,2.53,24.705,1.0,32,1,0
U00158,1,0.0,1,1.28,28.68,,35,1,2
U00159,2,26.93,2,2.1,42.785,,16,0,2
U00160,1,327.99,1,1.51,12.13,,28,1,3
U00161,11,55.054545454545455,7,2.8972727272727274,31.152727272727272,5.0,25,1,2
U00162,1,0.0,1,1.59,6.36,1.0,26,0,2
U00163,1,0.0,1,3.45,33.93,,32,1,2
U00164,2,0.0,1,3.2700000000000005,28.5,1.0,32,0,2
U00165,4,104.955,4,2.995,35.93,1.0,30,0,0
U00166,15,16.592,9,3.1886666666666668,34.38466666666667,4.0,33,0,2
U00167,1,0.0,1,4.94,42.59,,31,1,2
U00168,1,326.02,1,2.69,11.31,,24,1,3
U00169,13,43.62769230769231,11,2.636923076923077,27.686153846153847,5.0,24,0,2
U00170,3,0.0,3,2.72,28.396666666666665,,34,1,2
U00171,2,0.0,1,4.0649999999999995,24.84,,24,0,2
U00172,1,0.0,1,4.73,47.7,,35,1,2
U00173,14,78.20142857142856,10,3.1978571428571425,31.192857142857143,2.0,31,0,0
U00174,1,212.39,1,3.15,22.89,1.0,29,0,3
U00175,2,245.45,2,2.915,18.115,,32,1,3
U00176,1,0.0,1,4.68,15.75,,34,0,2
U00177,14,109.03857142857143,9,3.0235714285714286,27.137857142857143,3.0,29,1,0
U00178,14,16.90857142857143,10,3.54,26.851428571428574,4.0,20,0,2
U00179,2,243.96,2,2.685,37.25,1.0,34,0,3
U00180,1,0.0,1,4.73,47.7,,26,1,2
U00181,1,299.57,1,3.74,48.32,,32,1,3
U00182,1,0.0,1,4.1,34.83,,28,1,2
U00183,1,0.0,1,4.73,47.7,,33,0,2
U00184,1,0.0,1,2.38,16.74,1.0,28,0,2
U00185,1,57.32,1,4.74,43.95,1.0,27,0,2
U00186,2,163.01,2,3.0700000000000003,22.62,,28,1,0
U00187,1,472.28,1,4.74,11.0,,18,0,1
U00188,1,0.0,1,1.52,2.87,1.0,18,0,2
U00189,1,0.0,1,1.59,6.36,1.0,18,0,2
U00190,1,487.92,1,3.64,36.01,1.0,25,1,1
U00191,12,188.225,8,3.955833333333333,25.775000000000002,3.0,34,0,0
U00192,14,48.576428571428565,9,3.440714285714286,30.532142857142855,4.0,17,0,2
U00193,1,0.0,1,4.79,29.37,1.0,33,0,2
U00194,1,0.0,1,3.02,9.71,,35,0,2
U00195,1,346.71,1,1.23,3.42,1.0,15,0,3
U00196,1,394.26,1,1.35,47.44,,23,1,1
U00197,1,0.0,1,3.6,1.2,,35,1,2
U00198,12,103.52833333333335,7,3.2741666666666664,29.676666666666666,3.0,30,1,0
U00199,1,0.0,1,2.43,37.7,,24,1,2
U00200,4,67.4275,3,3.4650000000000003,21.25,4.0,32,0,0
U00201,3,230.62666666666667,3,2.676666666666667,39.31,1.0,16,0,3
U00202,1,0.0,1,3.85,19.53,,28,1,2
U00203,2,163.01,2,3.005,29.94,,25,1,0
U00204,1,0.0,1,1.59,6.36,1.0,28,1,2
U00205,1,342.61,1,4.84,17.14,,32,0,3
U00206,1,89.59,1,2.68,1.55,,19,1,0
U00207,2,88.67,2,2.585,39.205,1.0,33,0,0
U00208,15,33.84133333333333,10,3.1533333333333338,25.863333333333333,6.0,18,1,2
U00209,1,0.0,1,3.15,22.29,1.0,26,0,2
U00210,2,18.945,2,1.5150000000000001,31.3,1.0,30,0,2
U00211,1,0.0,1,4.68,15.75,,22,0,2
U00212,2,0.0,2,4.265,17.64,,30,1,2
U00213,2,149.785,2,4.23,45.5,,15,0,0
U00214,1,89.59,1,2.68,1.55,,24,1,0
U00215,1,326.02,1,2.69,11.31,,28,0,3
U00216,16,87.866875,10,3.545625,24.864375000000003,5.0,23,0,0
U00217,1,37.89,1,1.3,24.11,1.0,28,0,2
U00218,1,0.0,1,4.72,42.68,,15,1,2
U00219,1,0.0,1,4.51,48.19,,23,1,2
U00220,15,20.02333333333333,11,3.6286666666666667,34.548,4.0,20,0,2
U00221,1,0.0,1,4.45,15.29,1.0,27,0,2
U00222,1,0.78,1,3.89,44.96,1.0,28,0,2
U00223,1,0.0,1,4.1,34.83,,35,1,2
U00224,1,490.9,1,4.55,7.55,,15,1,1
U00225,1,0.0,1,4.1,34.83,,18,0,2
U00226,1,346.71,1,1.23,3.42,1.0,34,1,3
U00227,2,0.0,2,4.305,41.51,,23,0,2
U00228,1,117.68,1,2.57,48.09,1.0,18,0,0
U00229,2,0.0,2,2.73,20.97,1.0,22,0,2
U00230,2,59.52,2,3.595,12.435,,17,1,2
U00231,2,106.585,2,3.52,33.925,2.0,16,0,0
U00232,1,0.0,1,2.38,16.74,1.0,26,1,2
U00233,1,119.04,1,2.75,23.41,,32,0,0
U00234,2,163.01,2,3.74,20.34,1.0,32,0,0
U00235,3,157.42666666666665,2,3.856666666666667,16.176666666666666,1.0,34,0,0
U00236,1,394.26,1,1.35,47.44,,25,1,1
U00237,1,0.0,1,3.15,22.29,1.0,20,0,2
U00238,15,124.86133333333333,10,3.1626666666666665,28.449333333333335,6.0,24,1,0
U00239,1,0.0,1,4.44,1.46,,32,1,2
U00240,2,0.0,2,3.33,10.895,1.0,34,1,2
U00241,2,0.0,2,4.2700000000000005,21.895000000000003,,23,1,2
U00242,2,133.465,2,3.285,25.639999999999997,1.0,27,0,0
U00243,1,177.34,1,3.89,49.73,1.0,24,1,0
U00244,1,276.37,1,2.72,48.84,1.0,28,0,3
U00245,1,0.0,1,4.14,31.77,,31,1,2
U00246,1,472.28,1,4.74,11.0,,31,0,1
U00247,1,0.0,1,2.01,15.44,1.0,30,1,2
U00248,1,0.0,1,1.59,6.36,1.0,17,0,2
U00249,1,0.0,1,2.88,45.13,,35,1,2
U00250,1,342.61,1,4.84,17.14,,21,0,3
U00251,13,100.81307692307692,9,3.493846153846154,27.343846153846155,2.0,28,1,0
U00252,1,0.0,1,1.52,2.87,1.0,29,1,2
U00253,1,0.0,1,4.66,5.95,,19,0,2
U00254,1,0.0,1,4.94,42.59,,19,1,2
U00255,1,394.26,1,1.35,47.44,,26,1,1
U00256,1,0.0,1,4.51,48.19,,35,1,2
U00257,1,0.0,1,3.45,33.93,,29,0,2
U00258,1,117.68,1,2.57,48.09,1.0,19,0,0
U00259,1,342.61,1,4.84,17.14,,35,0,3
U00260,15,163.01333333333332,9,3.1526666666666667,27.546666666666667,6.0,35,0,0
U00261,1,0.0,1,1.13,16.33,,28,1,2
U00262,1,0.0,1,1.91,26.52,,24,0,2
U00263,4,0.0,4,2.8325,25.185,1.0,15,0,2
U00264,3,0.0,3,3.4599999999999995,43.14000000000001,,18,1,2
U00265,14,149.13214285714284,9,3.4299999999999997,27.582142857142856,4.0,15,0,0
U00266,1,212.39,1,3.15,22.89,1.0,25,1,3
U00267,4,226.6325,3,3.0325,30.895,2.0,34,0,3
U00268,1,0.0,1,3.6,1.2,,29,1,2
U00269,1,0.0,1,3.93,48.25,,22,1,2
U00270,1,0.0,1,2.67,40.07,1.0,23,0,2
U00271,1,0.0,1,4.44,1.46,,15,0,2
U00272,13,94.55384615384614,8,3.2284615384615383,24.33153846153846,6.0,25,0,0
U00273,1,0.0,1,2.14,8.95,,25,1,2
U00274,2,88.67,2,3.52,36.01,2.0,32,1,0
U00275,1,0.0,1,2.98,18.0,1.0,28,1,2
U00276,1,299.57,1,3.74,48.32,,22,1,3
U00277,1,0.0,1,2.01,15.44,1.0,21,0,2
U00278,1,0.0,1,3.85,19.53,,27,0,2
U00279,3,98.33999999999999,3,2.6833333333333336,34.72666666666667,3.0,24,0,0
U00280,1,299.57,1,3.74,48.32,,15,0,3
U00281,1,0.0,1,4.11,46.25,,30,1,2
U00282,14,73.86928571428572,9,2.472142857142857,26.384999999999998,9.0,19,0,0
U00283,2,0.0,2,2.8600000000000003,15.07,,28,0,2
U00284,1,342.61,1,4.84,17.14,,30,0,3
U00285,1,57.32,1,4.74,43.95,1.0,29,1,2
U00286,3,0.0,2,3.106666666666667,32.04,2.0,24,1,2
U00287,2,0.0,2,4.585,28.985,1.0,21,1,2
U00288,1,0.0,1,3.93,48.25,,35,0,2
U00289,1,0.78,1,3.89,44.96,1.0,17,1,2
U00290,3,19.106666666666666,3,4.430000000000001,30.55333333333333,1.0,17,1,2
U00291,3,92.12333333333333,3,3.6966666666666668,46.413333333333334,1.0,16,1,0
U00292,12,80.46833333333333,8,3.1333333333333333,34.38583333333333,3.0,33,0,0
U00293,13,109.72923076923077,9,2.94,27.726923076923075,5.0,25,1,0
U00294,1,0.0,1,4.73,47.7,,21,1,2
U00295,1,0.0,1,1.13,16.33,,29,0,2
U00296,2,88.67,2,3.67,41.83,1.0,31,1,0
U00297,1,0.0,1,2.14,8.95,,29,0,2
U00298,14,144.31571428571428,7,3.2892857142857146,29.744285714285716,5.0,32,0,0
U00299,1,0.0,1,3.15,22.29,1.0,20,1,2
U00300,2,243.96,2,2.92,38.385,1.0,26,1,3
U00301,14,85.81642857142856,9,3.0685714285714285,31.962142857142858,3.0,26,0,0
U00302,1,37.89,1,1.3,24.11,1.0,34,1,2
U00303,14,77.56714285714285,7,3.027142857142857,29.920714285714286,6.0,35,0,0
U00304,1,327.99,1,1.51,12.13,,35,0,3
U00305,1,0.0,1,4.94,42.59,,22,0,2
U00306,1,0.0,1,4.14,31.77,,28,0,2
U00307,1,0.0,1,2.43,37.7,,33,1,2
U00308,4,197.6175,4,3.5625,25.075,,26,0,0
U00309,1,342.61,1,4.84,17.14,,27,0,3
U00310,11,42.28818181818182,8,3.097272727272727,22.067272727272726,6.0,26,1,2
U00311,1,0.0,1,3.15,22.29,1.0,18,1,2
U00312,1,0.0,1,3.45,33.93,,30,1,2
U00313,1,0.0,1,4.66,5.95,,29,1,2
U00314,3,0.0,2,2.9766666666666666,35.14,,19,1,2
U00315,12,81.02416666666666,9,3.3516666666666666,26.520833333333332,4.0,31,1,0
U00316,2,0.0,2,3.87,16.485,,19,1,2
U00317,3,19.106666666666666,3,3.813333333333333,33.28,2.0,19,0,2
U00318,1,326.02,1,2.69,11.31,,20,0,3
U00319,1,346.71,1,1.23,3.42,1.0,15,1,3
U00320,1,285.05,1,1.96,34.78,,29,0,3
U00321,14,130.21,8,2.579285714285714,24.10214285714286,4.0,28,0,0
U00322,14,44.73571428571428,7,3.067857142857143,34.57642857142857,2.0,23,0,2
U00323,15,63.266,8,3.3059999999999996,28.79733333333333,8.0,21,1,0
U00324,1,0.0,1,2.88,45.13,,16,0,2
U00325,1,0.0,1,3.15,22.29,1.0,26,0,2
U00326,1,0.0,1,2.2,40.76,,25,1,2
U00327,4,44.335,3,4.035,30.345,1.0,31,1,2
U00328,15,87.99266666666666,8,3.31,28.207333333333334,2.0,29,1,0
U00329,12,136.035,8,3.035833333333333,19.674166666666668,1.0,20,1,0
U00330,14,90.61571428571428,8,2.775714285714286,31.49285714285714,5.0,15,1,0
U00331,1,276.37,1,2.72,48.84,1.0,17,0,3
U00332,1,0.0,1,1.81,9.3,1.0,25,0,2
U00333,1,0.0,1,1.59,6.36,1.0,26,1,2
U00334,13,68.27076923076923,9,2.64,26.676923076923078,4.0,24,1,0
U00335,1,0.0,1,4.94,42.59,,33,1,2
U00336,1,0.0,1,3.64,42.7,,19,0,2
U00337,1,0.0,1,1.73,38.49,,29,1,2
U00338,14,59.48357142857143,8,3.3842857142857143,24.864285714285717,3.0,23,1,2
U00339,16,130.476875,10,3.13625,25.673125,7.0,29,0,0
U00340,14,87.17285714285715,8,2.9549999999999996,33.595,5.0,30,0,0
U00341,1,0.0,1,4.79,29.37,1.0,24,0,2
U00342,1,0.0,1,4.73,47.7,,26,1,2
U00343,1,0.0,1,1.13,16.33,,31,0,2
U00344,1,0.0,1,3.93,48.25,,17,0,2
U00345,15,91.14733333333334,9,3.5193333333333334,27.412,5.0,16,0,0
U00346,3,108.67333333333333,3,3.3699999999999997,31.570000000000004,,33,1,0
U00347,2,173.355,2,2.67,24.835,1.0,32,1,0
U00348,1,299.57,1,3.74,48.32,,30,1,3
U00349,1,0.0,1,1.13,16.33,,28,0,2
U00350,2,44.795,2,3.8100000000000005,22.07,,17,0,2
U00351,13,59.776923076923076,8,2.9269230769230767,27.795384615384616,5.0,18,1,2
U00352,15,67.31266666666667,10,3.0853333333333333,30.372,5.0,28,0,0
U00353,14,65.59357142857142,10,3.3785714285714286,28.130714285714284,5.0,34,1,0
U00354,2,0.0,1,4.550000000000001,3.705,,35,0,2
U00355,1,0.0,1,4.45,15.29,1.0,15,1,2
U00356,15,41.27733333333333,10,3.0913333333333335,21.741333333333333,8.0,21,1,2
U00357,15,146.132,10,3.1853333333333333,27.996666666666666,3.0,15,1,0
U00358,1,0.0,1,3.45,33.93,,19,0,2
U00359,1,0.0,1,1.28,28.68,,29,1,2
U00360,1,0.0,1,3.6,1.2,,32,0,2
U00361,1,0.0,1,4.72,42.68,,18,1,2
U00362,13,85.61769230769231,8,3.089230769230769,19.34692307692308,6.0,16,0,0
U00363,1,0.0,1,1.52,2.87,1.0,32,1,2
U00364,1,0.0,1,4.68,15.75,,34,0,2
U00365,13,38.48307692307692,7,2.576923076923077,25.733846153846155,7.0,30,1,2
U00366,2,0.0,2,3.545,38.315,,28,0,2
U00367,1,0.0,1,2.67,40.07,1.0,21,0,2
U00368,1,0.0,1,1.52,2.87,1.0,26,0,2
U00369,4,0.0,4,2.665,21.8325,3.0,19,0,2
U00370,2,303.48,2,3.1950000000000003,29.71,1.0,17,0,3
U00371,1,0.0,1,3.02,9.71,,17,1,2
U00372,1,0.78,1,3.89,44.96,1.0,23,0,2
U00373,1,0.0,1,2.0,15.84,1.0,26,1,2
U00374,1,0.0,1,3.64,42.7,,28,1,2
U00375,1,326.02,1,2.69,11.31,,34,1,3
U00376,1,0.0,1,4.51,48.19,,29,0,2
U00377,1,177.34,1,3.89,49.73,1.0,21,1,0
U00378,2,0.0,2,3.63,34.269999999999996,1.0,21,1,2
U00379,14,218.1692857142857,8,3.4035714285714285,25.226428571428574,3.0,20,0,3
U00380,1,0.78,1,3.89,44.96,1.0,23,1,2
U00381,1,0.0,1,4.45,15.29,1.0,32,0,2
U00382,3,131.42,3,2.08,36.00333333333333,1.0,25,0,0
U00383,15,111.22666666666667,10,2.848,26.25,6.0,29,1,0
U00384,2,149.785,2,2.875,31.88,1.0,32,1,0
U00385,1,0.0,1,1.73,38.49,,20,0,2
U00386,2,149.785,2,4.125,48.254999999999995,,29,1,0
U00387,1,0.78,1,3.89,44.96,1.0,29,1,2
U00388,1,342.61,1,4.84,17.14,,18,0,3
U00389,1,0.0,1,1.91,26.52,,27,1,2
U00390,3,0.0,2,3.1266666666666665,43.00666666666666,1.0,18,1,2
U00391,1,0.0,1,3.93,48.25,,19,1,2
U00392,1,327.99,1,1.51,12.13,,19,1,3
U00393,1,0.0,1,4.94,42.59,,30,0,2
U00394,11,3.5154545454545456,7,2.611818181818182,30.39181818181818,5.0,30,1,2
U00395,1,0.0,1,4.94,42.59,,22,1,2
U00396,2,0.0,2,2.915,36.66,,30,0,2
U00397,1,37.89,1,1.3,24.11,1.0,16,0,2
U00398,3,39.22666666666667,3,3.313333333333333,42.79333333333333,1.0,27,1,2
U00399,12,137.36333333333332,8,3.0908333333333338,26.334166666666665,5.0,31,1,0
U00400,2,0.0,2,2.83,14.415000000000001,1.0,23,0,2
U00401,2,0.0,2,2.95,27.42,,21,1,2
U00402,2,0.0,2,2.13,23.215,2.0,23,0,2
U00403,1,0.0,1,4.1,34.83,,34,1,2
U00404,14,115.54571428571428,10,3.105714285714286,26.564285714285713,6.0,21,1,0
U00405,2,344.65999999999997,1,3.035,10.280000000000001,1.0,24,0,3
U00406,15,94.49600000000001,11,2.902,23.151999999999997,4.0,33,0,0
U00407,15,107.46533333333333,10,3.3033333333333332,28.090666666666667,4.0,23,0,0
U00408,1,0.0,1,3.15,22.29,1.0,19,1,2
U00409,2,0.0,2,2.85,26.305,1.0,35,0,2
U00410,1,0.0,1,2.67,40.07,1.0,33,0,2
U00411,12,65.80583333333334,8,3.2883333333333336,27.280833333333334,6.0,17,1,0
U00412,4,59.18000000000001,3,3.3175,31.465,1.0,24,1,2
U00413,2,236.14,2,4.335,29.625,,23,0,3
U00414,1,0.0,1,2.61,48.68,1.0,25,0,2
U00415,13,61.92230769230769,7,3.1138461538461537,27.964615384615385,6.0,31,1,2
U00416,2,0.0,2,2.925,36.7,,17,1,2
U00417,2,0.0,2,2.92,41.730000000000004,,32,1,2
U00418,3,176.26333333333332,3,2.3266666666666667,15.996666666666664,1.0,23,1,0
U00419,1,0.78,1,3.89,44.96,1.0,21,1,2
U00420,1,327.99,1,1.51,12.13,,24,1,3
U00421,1,0.0,1,4.45,15.29,1.0,32,0,2
U00422,3,95.01666666666667,3,2.8266666666666667,27.763333333333332,1.0,15,1,0
U00423,12,133.435,6,3.0866666666666664,22.548333333333332,3.0,27,1,0
U00424,11,110.33818181818182,7,3.1900000000000004,28.573636363636364,5.0,35,0,0
U00425,1,490.9,1,4.55,7.55,,19,0,1
U00426,4,118.07,3,3.6750000000000003,26.9175,,21,0,0
U00427,16,85.889375,9,3.033125,20.153125,5.0,29,1,0
U00428,1,0.0,1,2.98,18.0,1.0,23,0,2
U00429,1,0.0,1,4.1,34.83,,23,1,2
U00430,1,487.92,1,3.64,36.01,1.0,27,0,1
U00431,1,487.92,1,3.64,36.01,1.0,15,1,1
U00432,1,0.0,1,4.79,29.37,1.0,31,0,2
U00433,1,276.37,1,2.72,48.84,1.0,32,1,3
U00434,1,177.34,1,3.89,49.73,1.0,22,0,0
U00435,1,119.04,1,2.75,23.41,,34,1,0
U00436,1,490.9,1,4.55,7.55,,20,1,1
U00437,3,0.0,3,3.6666666666666665,29.486666666666668,1.0,28,0,2
U00438,14,45.23285714285714,10,3.3907142857142856,27.400000000000002,7.0,21,0,2
U00439,1,0.0,1,1.52,2.87,1.0,31,1,2
U00440,1,0.0,1,2.67,40.07,1.0,20,1,2
U00441,1,37.89,1,1.3,24.11,1.0,19,0,2
